Date,Bill of Lading,Location,Customer,Product,Volume,,
4/01/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,720,,
4/01/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,711,,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,"4,500",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,235,,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,"6,150",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,321,,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"18,596",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"24,745",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"40,603",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,971,,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"1,292",,
4/01/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"2,119",,
4/01/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"37,600",,
4/01/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"42,996",,
4/01/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,718,,
4/01/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,821,,
4/01/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"39,247",,
4/01/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"42,731",,
4/01/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"1,803",,
4/01/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"1,963",,
4/01/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,AVGAS LOW LEAD,"39,230",,
4/01/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,AVGAS LOW LEAD,944,,
4/01/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"42,821",,
4/01/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"34,779",,
4/01/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,899,,
4/01/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,730,,
4/01/2024,8141318969,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,"8,000",,
4/01/2024,8141318969,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,71,,
4/01/2024,8141318068,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL COOLUP EX COOGEE,ULSD 10PPM,"35,602",,
